genres,id,original_language,release_date,title,vote_average
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",15121,en,1965-02-03,The Sound of Music,7.4
"[{""id"": 10752, ""name"": ""War""}, {""id"": 37, ""name"": ""Western""}]",29715,en,1965-07-04,Major Dundee,6.2
"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10770, ""name"": ""TV Movie""}]",13187,en,1965-09-12,A Charlie Brown Christmas,7.5
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",874,en,1966-12-12,A Man for All Seasons,7.5
"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 36, ""name"": ""History""}]",12602,de,1967-05-10,The Torture Chamber of Dr. Sadism,6.3
"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]",667,en,1967-12-06,You Only Live Twice,6.5
"[{""id"": 27, ""name"": ""Horror""}]",10331,en,1968-01-10,Night of the Living Dead,7.5
"[{""id"": 37, ""name"": ""Western""}]",39209,en,1968-06-11,Shalako,5.4
"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}]",62,en,1968-10-04,2001: A Space Odyssey,7.9
"[{""id"": 878, ""name"": ""Science Fiction""}]",8069,en,1968-10-10,Barbarella,5.7
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",805,en,1968-12-06,Rosemary's Baby,7.5
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",42618,en,1969-01-01,Sweet Charity,6.5
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10769, ""name"": ""Foreign""}]",45138,it,1969-01-04,Machine Gun McCain,7.3
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",668,en,1969-12-12,On Her Majesty's Secret Service,6.5
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",42586,en,1970-01-01,Darling Lili,4.9
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}]",1685,en,1970-01-05,Beneath the Planet of the Apes,6.2
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 27, ""name"": ""Horror""}]",72086,en,1971-01-01,The Night Visitor,7.3
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",42497,en,1971-01-01,Pink Narcissus,6
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",14811,en,1971-03-11,Fiddler on the Roof,7.4
"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",1051,en,1971-09-10,The French Connection,7.4
"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",10514,en,1971-12-03,The Andromeda Strain,7
"[{""id"": 35, ""name"": ""Comedy""}]",11624,en,1972-06-08,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,6.6
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",811,en,1972-09-03,Silent Running,6.3
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 36, ""name"": ""History""}, {""id"": 10402, ""name"": ""Music""}]",14902,en,1972-09-11,1776,7.1
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",692,en,1972-12-03,Pink Flamingos,6.2
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",838,en,1973-01-08,American Graffiti,6.9
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",203,en,1973-02-10,Mean Streets,7.2
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",253,en,1973-05-07,Live and Let Die,6.4
"[{""id"": 27, ""name"": ""Horror""}]",30497,en,1974-01-10,The Texas Chain Saw Massacre,7.2
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",682,en,1974-01-12,The Man with the Golden Gun,6.3
"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",987,en,1974-01-12,The Front Page,6.9
"[{""id"": 37, ""name"": ""Western""}, {""id"": 35, ""name"": ""Comedy""}]",11072,en,1974-07-02,Blazing Saddles,7.2
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",592,en,1974-07-04,The Conversation,7.5
"[{""id"": 18, ""name"": ""Drama""}]",10774,en,1976-01-11,Network,7.7
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",794,en,1976-06-06,The Omen,7.2
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",103,en,1976-07-02,Taxi Driver,8
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",23479,en,1976-07-04,The Bad News Bears,6.9
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",5854,en,1976-09-04,Family Plot,6.7
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",10786,en,1976-11-03,Robin and Marian,6.6
"[{""id"": 18, ""name"": ""Drama""}]",42222,en,1977-02-10,Julia,6.3
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",691,en,1977-07-07,The Spy Who Loved Me,6.6
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",25388,en,1977-08-09,March or Die,6.2
"[{""id"": 35, ""name"": ""Comedy""}]",11598,en,1977-10-08,The Kentucky Fried Movie,6.4
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",25763,en,1977-10-09,Damnation Alley,5
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",11935,en,1977-10-12,Capricorn One,6.4
"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 10402, ""name"": ""Music""}]",13963,en,1978-01-05,The Last Waltz,7.9
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10752, ""name"": ""War""}, {""id"": 53, ""name"": ""Thriller""}]",17339,en,1978-01-11,Force 10 from Navarone,6.4
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",41317,en,1978-02-11,Caravans,5.8
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",16241,en,1978-05-10,The Boys from Brazil,6.6
"[{""id"": 10749, ""name"": ""Romance""}]",621,en,1978-07-07,Grease,7.2
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",11778,en,1978-08-12,The Deer Hunter,7.8
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",31915,en,1979-01-01,Prophecy,5.4
"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",65448,en,1979-01-12,Penitentiary,4.9
"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 9648, ""name"": ""Mystery""}]",152,en,1979-06-12,Star Trek: The Motion Picture,6.2
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",16323,en,1979-07-11,The Rose,6.8
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",9659,en,1979-12-04,Mad Max,6.6
"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",24575,en,1980-01-01,Raise the Titanic,5.2
"[{""id"": 18, ""name"": ""Drama""}]",39269,en,1980-01-05,Out of the Blue,6.5
"[{""id"": 878, ""name"": ""Science Fiction""}]",3604,en,1980-01-09,Flash Gordon,6.1
"[{""id"": 35, ""name"": ""Comedy""}]",813,en,1980-02-07,Airplane!,7.1
"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",16633,en,1980-02-10,Somewhere in Time,7.2
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",1955,en,1980-02-10,The Elephant Man,7.9
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",8536,en,1980-04-12,Superman II,6.5
"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",5689,en,1980-05-07,The Blue Lagoon,5.8
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",33155,en,1980-06-06,Galaxina,3.3
"[{""id"": 35, ""name"": ""Comedy""}]",10765,en,1980-06-10,Private Benjamin,6
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",16769,en,1980-07-03,Coal Miner's Daughter,7.2
"[{""id"": 27, ""name"": ""Horror""}]",790,en,1980-08-02,The Fog,6.4
"[{""id"": 37, ""name"": ""Western""}, {""id"": 36, ""name"": ""History""}]",14729,en,1980-12-05,The Long Riders,6.6
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",9725,en,1981-01-05,Friday the 13th Part 2,6
"[{""id"": 27, ""name"": ""Horror""}]",27420,en,1981-01-05,Graduation Day,5
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}]",11298,en,1981-03-04,The Howling,6.4
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",113464,en,1981-04-05,Inchon,6.5
"[{""id"": 16, ""name"": ""Animation""}, {""id"": 878, ""name"": ""Science Fiction""}]",11827,en,1981-07-08,Heavy Metal,6.2
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",47890,en,1981-11-02,Sphinx,6
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",85,en,1981-12-06,Raiders of the Lost Ark,7.7
"[{""id"": 35, ""name"": ""Comedy""}]",10156,en,1981-12-06,History of the World: Part I,6.5
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",2989,en,1981-12-11,Roar,5.6
"[{""id"": 10751, ""name"": ""Family""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 37, ""name"": ""Western""}, {""id"": 10749, ""name"": ""Romance""}]",24266,en,1982-02-03,The Man from Snowy River,6.8
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",9387,en,1982-02-04,Conan the Barbarian,6.6
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",6217,en,1982-02-04,Cat People,6
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",13776,en,1982-02-04,Diner,6.9
"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",601,en,1982-03-04,E.T. the Extra-Terrestrial,7.3
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",154,en,1982-03-06,Star Trek II: The Wrath of Khan,7.3
"[{""id"": 27, ""name"": ""Horror""}]",609,en,1982-04-06,Poltergeist,7
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",34697,en,1982-05-02,Butterfly,5
"[{""id"": 18, ""name"": ""Drama""}]",24226,en,1982-08-12,The Verdict,7.4
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",3028,en,1982-10-11,Jekyll and Hyde ... Together Again,4.6
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}]",16281,en,1982-12-11,Creepshow,6.7
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",75986,en,1983-01-04,Love Letters,4.6
"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",860,en,1983-03-06,WarGames,7
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",837,en,1983-04-02,Videodrome,7.1
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",700,en,1983-05-06,Octopussy,6.2
"[{""id"": 35, ""name"": ""Comedy""}]",1621,en,1983-07-06,Trading Places,7.1
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",36670,en,1983-07-10,Never Say Never Again,5.8
"[{""id"": 35, ""name"": ""Comedy""}]",33676,en,1983-08-04,Losin' It,4.5
"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",111,en,1983-08-12,Scarface,8
"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Horror""}]",15239,en,1984-01-05,The Toxic Avenger,6.3
"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",2669,en,1984-04-05,The Bounty,6.5
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",34584,en,1984-05-04,The NeverEnding Story,7
"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}]",927,en,1984-07-06,Gremlins,6.9
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",2619,en,1984-09-03,Splash,6.1
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",11308,en,1984-09-03,The Hotel New Hampshire,5.8
"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",1880,en,1984-10-08,Red Dawn,6.4
"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",11495,en,1984-11-05,Firestarter,5.9
"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",17663,en,1985-01-12,Anne of Green Gables,8.2
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]",105,en,1985-03-07,Back to the Future,8
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",10999,en,1985-03-10,Commando,6.4
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",11904,en,1985-04-12,Young Sherlock Holmes,6.7
"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",11240,en,1985-07-09,My Beautiful Laundrette,6.6
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",9281,en,1985-08-02,Witness,7
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",9626,en,1985-09-04,Red Sonja,5
"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",10656,fr,1985-10-04,Subway,6.3
"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",11509,en,1985-10-07,Silverado,7.1
"[{""id"": 878, ""name"": ""Science Fiction""}]",31909,en,1986-01-01,Invaders from Mars,5.5
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",10658,en,1986-01-08,Howard the Duck,5.1
"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",10225,en,1986-01-08,Friday the 13th Part VI: Jason Lives,5.7
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",10013,en,1986-05-10,Peggy Sue Got Married,5.9
"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",8009,en,1986-07-03,Highlander,6.8
"[{""id"": 18, ""name"": ""Drama""}]",11873,en,1986-07-10,The Color of Money,6.7
"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",27995,en,1986-08-08,She's Gotta Have It,6.1
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",10136,en,1986-12-12,The Golden Child,5.6
"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",27551,en,1987-01-03,The Barbarians,5.1
"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",27342,en,1987-01-05,Malone,6.8
"[{""id"": 27, ""name"": ""Horror""}]",16288,en,1987-01-05,Creepshow 2,5.9
"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",25678,en,1987-01-05,American Ninja 2: The Confrontation,4.9
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}]",117,en,1987-02-06,The Untouchables,7.6
"[{""id"": 18, ""name"": ""Drama""}]",12506,en,1987-05-11,Cry Freedom,6.9
"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]",19933,en,1987-09-07,The Brave Little Toaster,6.7
"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",10673,en,1987-10-12,Wall Street,7
